x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
53,55,134,1,1,44.08695652173914,13
54,61,70,1,1,37.08695652173914,33
62,52,109,1,1,38.08695652173914,52
57,54,87,1,1,41.08695652173914,58
66,53,95,1,1,33.08695652173914,61
68,62,83,1,1,22.08695652173914,86
64,58,90,1,1,30.08695652173914,93
67,70,129,1,1,15.08695652173914,104
56,63,142,1,1,33.08695652173914,120
68,69,149,1,1,15.08695652173914,137
52,71,79,1,1,29.08695652173914,157
61,74,103,1,1,17.08695652173914,228
55,60,77,1,1,37.08695652173914,248
56,60,116,1,1,36.08695652173914,256
69,68,99,1,1,15.08695652173914,293
