x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
96,22,95,0,4,14.434782608695631,6
84,21,100,0,4,11.47826086956525,23
98,18,107,0,4,20.43478260869563,36
97,4,137,0,4,33.43478260869563,46
76,9,77,0,4,31.47826086956525,76
86,5,87,0,4,25.47826086956525,77
94,16,88,0,4,18.43478260869563,80
82,13,88,0,4,21.47826086956525,121
98,3,118,0,4,35.43478260869563,146
80,15,116,0,4,21.47826086956525,151
100,9,75,0,4,31.43478260869563,178
84,15,58,0,4,17.47826086956525,181
90,25,96,0,4,5.434782608695631,190
89,2,93,0,4,27.43478260869563,215
93,18,73,0,4,15.434782608695631,225
77,15,62,0,4,24.47826086956525,244
77,12,52,0,4,27.47826086956525,258
83,26,87,0,4,7.478260869565251,272
93,12,122,0,4,21.43478260869563,287
83,23,69,0,4,10.47826086956525,289
