x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
30,6,125,1,2,37.777777777777764,9
41,5,101,1,2,27.777777777777764,42
39,13,90,1,2,21.777777777777764,49
43,12,109,1,2,18.777777777777764,90
51,4,95,1,2,18.777777777777764,105
48,5,90,1,2,20.777777777777764,118
34,16,116,1,2,23.777777777777764,132
44,15,143,1,2,14.777777777777764,169
52,6,95,1,2,15.777777777777764,196
39,2,72,1,2,32.777777777777764,204
53,7,72,1,2,13.777777777777764,217
40,5,94,1,2,28.777777777777764,234
41,7,133,1,2,25.777777777777764,245
32,1,79,1,2,40.777777777777764,253
