x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
99,29,98,2,4,11.52173913043475,11
97,58,76,2,4,38.52173913043475,67
97,46,95,2,4,26.52173913043475,79
88,33,66,2,4,4.565217391304369,107
96,33,142,2,4,12.52173913043475,141
90,40,133,2,4,13.52173913043475,183
100,34,112,2,4,17.52173913043475,187
97,37,103,2,4,17.52173913043475,236
100,31,72,2,4,14.52173913043475,264
89,38,104,2,4,10.52173913043475,270
92,40,61,2,4,15.52173913043475,273
100,42,121,2,4,25.52173913043475,279
92,31,56,2,4,6.521739130434749,283
99,41,121,2,4,23.52173913043475,292
