x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
13,41,80,2,3,12.480000000000011,14
4,43,62,2,3,23.48000000000001,16
13,45,83,2,3,16.48000000000001,30
8,49,112,2,3,25.48000000000001,71
16,55,130,2,3,23.48000000000001,103
14,53,66,2,3,23.48000000000001,117
2,56,113,2,3,38.48000000000001,122
6,37,112,2,3,15.480000000000011,130
15,49,144,2,3,18.48000000000001,131
23,52,64,2,3,24.439999999999976,144
12,35,149,2,3,7.480000000000011,147
2,48,72,2,3,30.48000000000001,206
5,38,73,2,3,17.48000000000001,227
15,49,121,2,3,18.48000000000001,250
3,56,98,2,3,37.48000000000001,274
