x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
58,100,74,4,1,35.73913043478264,18
52,85,83,4,1,26.739130434782638,65
62,96,73,4,1,27.739130434782638,69
61,91,117,4,1,23.739130434782638,111
53,87,135,4,1,27.739130434782638,140
52,92,82,4,1,33.73913043478264,170
59,95,65,4,1,29.739130434782638,174
54,80,122,4,1,19.739130434782638,191
59,84,71,4,1,18.739130434782638,209
61,85,143,4,1,17.739130434782638,216
52,93,119,4,1,34.73913043478264,223
54,92,124,4,1,31.739130434782638,247
57,96,65,4,1,32.73913043478264,265
57,91,96,4,1,27.739130434782638,285
