x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
26,11,119,1,3,30.51999999999999,15
3,27,68,1,3,20.560000000000024,25
10,2,139,1,3,38.560000000000024,70
5,14,113,1,3,31.560000000000024,72
25,21,97,1,3,19.51999999999999,91
2,27,117,1,3,21.560000000000024,115
25,22,123,1,3,18.51999999999999,123
2,11,107,1,3,37.560000000000024,139
1,11,96,1,3,38.560000000000024,186
17,24,73,1,3,9.560000000000024,199
28,12,133,1,3,31.51999999999999,205
20,2,134,1,3,33.51999999999999,233
10,11,77,1,3,29.560000000000024,254
7,27,143,1,3,16.560000000000024,261
26,20,133,1,3,21.51999999999999,262
1,12,121,1,3,37.560000000000024,275
9,29,98,1,3,12.560000000000024,288
