x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
16,77,94,1,0,12.721518987341774,1
8,80,91,1,0,23.569620253164608,22
23,78,68,1,0,6.569620253164608,31
3,70,50,1,0,32.721518987341774,95
14,76,80,1,0,15.721518987341774,109
10,85,113,1,0,26.569620253164608,124
21,84,127,1,0,14.569620253164608,134
11,79,147,1,0,19.569620253164608,142
15,78,83,1,0,14.569620253164608,159
4,81,124,1,0,28.569620253164608,179
12,80,54,1,0,19.569620253164608,185
10,74,61,1,0,21.721518987341774,207
8,83,117,1,0,26.569620253164608,231
18,83,60,1,0,16.569620253164608,238
1,76,67,1,0,28.721518987341774,252
20,86,146,1,0,17.569620253164608,260
1,82,124,1,0,32.56962025316461,269
11,86,82,1,0,26.569620253164608,297
