x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
100,72,129,3,1,34.26086956521736,4
81,69,103,3,1,18.260869565217362,17
80,58,127,3,1,28.260869565217362,20
77,68,137,3,1,15.260869565217362,27
99,77,144,3,1,28.260869565217362,41
98,65,50,3,1,39.26086956521736,74
82,65,67,3,1,23.260869565217362,85
95,69,115,3,1,32.26086956521736,101
78,57,143,3,1,27.260869565217362,156
80,74,145,3,1,12.260869565217362,167
86,56,64,3,1,36.26086956521736,189
77,60,86,3,1,23.260869565217362,266
86,63,87,3,1,29.260869565217362,280
100,71,88,3,1,35.26086956521736,284
