x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
31,88,96,4,0,13.278481012658226,10
34,86,136,4,0,14.278481012658226,51
27,91,142,4,0,15.569620253164608,59
38,87,76,4,0,19.278481012658226,60
32,92,75,4,0,18.278481012658226,62
26,97,141,4,0,22.569620253164608,64
24,95,149,4,0,22.569620253164608,68
35,92,112,4,0,21.278481012658226,108
34,81,108,4,0,9.278481012658226,112
28,93,125,4,0,16.569620253164608,172
39,98,133,4,0,31.278481012658226,212
33,86,142,4,0,13.278481012658226,213
39,98,82,4,0,31.278481012658226,219
37,84,133,4,0,15.278481012658226,239
41,96,143,4,0,31.278481012658226,296
