x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
32,69,144,0,0,11.430379746835392,2
30,63,104,0,0,15.430379746835392,21
36,69,114,0,0,15.430379746835392,24
43,55,77,0,0,36.43037974683539,35
32,74,67,0,0,6.430379746835392,43
48,64,57,0,0,32.43037974683539,63
39,71,89,0,0,16.430379746835392,81
29,57,62,0,0,20.430379746835392,82
40,61,84,0,0,27.430379746835392,92
34,66,90,0,0,16.430379746835392,96
40,68,89,0,0,20.430379746835392,113
40,63,95,0,0,25.430379746835392,133
51,59,134,0,0,40.43037974683539,135
30,57,76,0,0,21.430379746835392,149
41,69,133,0,0,20.430379746835392,166
40,59,97,0,0,29.430379746835392,180
37,54,83,0,0,31.430379746835392,202
36,60,107,0,0,24.430379746835392,203
39,72,118,0,0,15.430379746835392,214
34,53,65,0,0,29.430379746835392,218
37,69,136,0,0,16.430379746835392,230
36,58,115,0,0,26.430379746835392,249
47,54,56,0,0,41.43037974683539,271
